gene	ex15_list	in_roth_all_baits	in_roth_chtop_sap30bp	in_mabin_all_ejcs	in_mabin_alternate_only	n_roth_scopes	n_mabin_scopes	in_roth	in_mabin	tier
DHX38	common	False	False	False	False	0	0	False	False	D
DHX40	common	False	False	False	False	0	0	False	False	D
DHX57	common	False	False	False	False	0	0	False	False	D
DIMT1	common	False	False	False	False	0	0	False	False	D
DNAJA1	common	False	False	False	False	0	0	False	False	D
DNAJA2	common	False	False	False	False	0	0	False	False	D
DNAJC13	common	False	False	False	False	0	0	False	False	D
DNAJC7	common	False	False	False	False	0	0	False	False	D
DNAJC9	common	True	False	False	False	1	0	True	False	C
DNMT1	common	False	False	False	False	0	0	False	False	D
DYNC2I1	common	False	False	False	False	0	0	False	False	D
DYNC2I2	common	False	False	False	False	0	0	False	False	D
DYNLL2	common	False	False	False	False	0	0	False	False	D
ECT2	common	False	False	False	False	0	0	False	False	D
EEFSEC	common	False	False	False	False	0	0	False	False	D
EFTUD2	common	False	False	True	True	0	2	False	True	B
EIF2S3	common	False	False	False	False	0	0	False	False	D
EIF3D	common	False	False	False	False	0	0	False	False	D
EIF4A3	common	False	False	True	True	0	2	False	True	B
ELOB	common	False	False	False	False	0	0	False	False	D
ELOC	common	False	False	False	False	0	0	False	False	D
ERI3	common	False	False	False	False	0	0	False	False	D
FIP1L1	common	False	False	True	True	0	2	False	True	B
FTSJ3	common	True	False	False	False	1	0	True	False	C
GEMIN4	common	False	False	False	False	0	0	False	False	D
GPATCH8	common	False	False	True	True	0	2	False	True	B
GRWD1	common	False	False	False	False	0	0	False	False	D
GSK3B	common	False	False	False	False	0	0	False	False	D
GTF3C1	common	False	False	False	False	0	0	False	False	D
GTPBP4	common	False	False	False	False	0	0	False	False	D
GTPBP6	common	False	False	False	False	0	0	False	False	D
HERC5	common	False	False	False	False	0	0	False	False	D
HNRNPA0	common	False	False	False	False	0	0	False	False	D
HNRNPLL	common	False	False	False	False	0	0	False	False	D
HSPA4	common	False	False	False	False	0	0	False	False	D
IGF2BP3	common	False	False	False	False	0	0	False	False	D
IK	common	False	False	False	False	0	0	False	False	D
IQGAP1	common	False	False	False	False	0	0	False	False	D
IRS4	common	False	False	False	False	0	0	False	False	D
JMJD6	common	False	False	False	False	0	0	False	False	D
KIF2A	common	False	False	False	False	0	0	False	False	D
KPNA2	common	False	False	False	False	0	0	False	False	D
KPNA3	common	False	False	False	False	0	0	False	False	D
KPNA4	common	True	False	False	False	1	0	True	False	C
LBR	common	False	False	False	False	0	0	False	False	D
LIG3	common	True	False	False	False	1	0	True	False	C
LRRC47	common	False	False	False	False	0	0	False	False	D
LUC7L	common	False	False	False	False	0	0	False	False	D
LUC7L2	common	False	False	True	True	0	2	False	True	B
LUC7L3	common	False	False	True	True	0	2	False	True	B
MAGOH	common	True	True	True	True	2	2	True	True	A
MELK	common	False	False	False	False	0	0	False	False	D
MID1	common	False	False	False	False	0	0	False	False	D
MRPL15	common	False	False	False	False	0	0	False	False	D
MRPL19	common	False	False	False	False	0	0	False	False	D
MRPL39	common	False	False	False	False	0	0	False	False	D
MRPL44	common	False	False	False	False	0	0	False	False	D
MRPL47	common	False	False	False	False	0	0	False	False	D
MRPS14	common	False	False	False	False	0	0	False	False	D
MRPS16	common	False	False	False	False	0	0	False	False	D
MRPS17	common	False	False	False	False	0	0	False	False	D
MRPS2	common	False	False	False	False	0	0	False	False	D
MRPS22	common	False	False	False	False	0	0	False	False	D
MRPS23	common	True	True	False	False	2	0	True	False	C
MRPS24	common	False	False	False	False	0	0	False	False	D
MRPS25	common	False	False	False	False	0	0	False	False	D
MRPS26	common	False	False	False	False	0	0	False	False	D
MRPS28	common	False	False	False	False	0	0	False	False	D
MRPS31	common	False	False	False	False	0	0	False	False	D
MRPS34	common	False	False	False	False	0	0	False	False	D
MRPS5	common	False	False	False	False	0	0	False	False	D
MRPS7	common	False	False	False	False	0	0	False	False	D
MRPS9	common	False	False	False	False	0	0	False	False	D
MSH2	common	False	False	False	False	0	0	False	False	D
NFKBIL1	common	False	False	False	False	0	0	False	False	D
NKTR	common	False	False	True	True	0	2	False	True	B
NOP16	common	False	False	False	False	0	0	False	False	D
NPM3	common	False	False	False	False	0	0	False	False	D
NSUN2	common	False	False	False	False	0	0	False	False	D
NSUN5	common	False	False	False	False	0	0	False	False	D
NUDT21	common	False	False	False	False	0	0	False	False	D
PABPN1	common	True	True	False	False	2	0	True	False	C
PARP1	common	True	False	False	False	1	0	True	False	C
PAXIP1	common	False	False	False	False	0	0	False	False	D
PDCD2L	common	False	False	False	False	0	0	False	False	D
PELO	common	False	False	False	False	0	0	False	False	D
PHF6	common	False	False	False	False	0	0	False	False	D
PIP4K2B	common	False	False	False	False	0	0	False	False	D
PLK1	common	True	False	False	False	1	0	True	False	C
PNN	common	True	True	True	True	2	2	True	True	A
POLD1	common	False	False	False	False	0	0	False	False	D
POLDIP2	common	False	False	False	False	0	0	False	False	D
POLRMT	common	False	False	False	False	0	0	False	False	D
POP1	common	False	False	False	False	0	0	False	False	D
POP4	common	False	False	False	False	0	0	False	False	D
PPIG	common	False	False	True	True	0	2	False	True	B
PPIL1	common	False	False	False	False	0	0	False	False	D
PPP2R3B	common	False	False	False	False	0	0	False	False	D
PRC1	common	False	False	False	False	0	0	False	False	D
PRP4K	common	False	False	False	False	0	0	False	False	D
PRPF40A	common	False	False	True	True	0	2	False	True	B
PRPF6	common	False	False	False	False	0	0	False	False	D
PRPF8	common	True	True	True	True	2	2	True	True	A
PSME3	common	False	False	False	False	0	0	False	False	D
PTCD3	common	False	False	False	False	0	0	False	False	D
Q22222	common	False	False	False	False	0	0	False	False	D
RBM23	common	False	False	False	False	0	0	False	False	D
RBM25	common	False	False	True	True	0	2	False	True	B
RBM42	common	False	False	False	False	0	0	False	False	D
RBM8A	common	False	False	True	False	0	1	False	True	B
RFC1	common	False	False	False	False	0	0	False	False	D
RFC2	common	False	False	False	False	0	0	False	False	D
RFC3	common	False	False	False	False	0	0	False	False	D
RFC4	common	False	False	False	False	0	0	False	False	D
RFC5	common	False	False	False	False	0	0	False	False	D
RNF138	common	False	False	False	False	0	0	False	False	D
RNPS1	common	True	True	True	True	2	2	True	True	A
RPP30	common	False	False	False	False	0	0	False	False	D
RPP38	common	False	False	False	False	0	0	False	False	D
RPS21	common	False	False	False	False	0	0	False	False	D
RPS23	common	False	False	False	False	0	0	False	False	D
RPS28	common	False	False	False	False	0	0	False	False	D
RRP12	common	True	False	False	False	1	0	True	False	C
RSL1D1	common	False	False	False	False	0	0	False	False	D
SAP18	common	False	False	True	True	0	2	False	True	B
SAP30BP	common	False	False	False	False	0	0	False	False	D
SARS2	common	False	False	False	False	0	0	False	False	D
SGPL1	common	False	False	False	False	0	0	False	False	D
SMAD3	common	False	False	False	False	0	0	False	False	D
SMC2	common	False	False	False	False	0	0	False	False	D
SMC4	common	False	False	False	False	0	0	False	False	D
SNIP1	common	False	False	True	True	0	2	False	True	B
SNRNP200	common	False	False	False	False	0	0	False	False	D
SNRNP70	common	False	False	False	False	0	0	False	False	D
SNRPA	common	False	False	False	False	0	0	False	False	D
SNRPE	common	False	False	False	False	0	0	False	False	D
SNW1	common	False	False	True	True	0	2	False	True	B
SRP14	common	False	False	False	False	0	0	False	False	D
SRP9	common	False	False	False	False	0	0	False	False	D
SRPK1	common	False	False	False	False	0	0	False	False	D
SRPK2	common	False	False	False	False	0	0	False	False	D
SRRM2	common	False	False	True	True	0	2	False	True	B
SRRT	common	False	False	True	True	0	2	False	True	B
SRSF1	common	True	True	True	True	2	2	True	True	A
SRSF11	common	False	False	False	False	0	0	False	False	D
SRSF3	common	False	False	True	True	0	2	False	True	B
SRSF5	common	False	False	False	False	0	0	False	False	D
SRSF6	common	True	True	True	True	2	2	True	True	A
SSB	common	True	True	False	False	2	0	True	False	C
SSRP1	common	True	False	False	False	1	0	True	False	C
TAF15	common	False	False	False	False	0	0	False	False	D
TBL2	common	False	False	False	False	0	0	False	False	D
TCAF1	common	False	False	False	False	0	0	False	False	D
TCERG1	common	False	False	False	False	0	0	False	False	D
TCP1	common	False	False	False	False	0	0	False	False	D
TFB1M	common	False	False	False	False	0	0	False	False	D
THOC2	common	False	False	False	False	0	0	False	False	D
THOC6	common	True	True	False	False	2	0	True	False	C
TMA16	common	False	False	False	False	0	0	False	False	D
TMEM229A	common	False	False	False	False	0	0	False	False	D
TNKS	common	False	False	False	False	0	0	False	False	D
TNKS2	common	False	False	False	False	0	0	False	False	D
TOE1	common	False	False	False	False	0	0	False	False	D
TOP1	common	False	False	False	False	0	0	False	False	D
TRIM28	common	False	False	False	False	0	0	False	False	D
TRMT1L	common	False	False	False	False	0	0	False	False	D
TSPYL1	common	False	False	False	False	0	0	False	False	D
TSR1	common	False	False	False	False	0	0	False	False	D
TTC14	common	False	False	False	False	0	0	False	False	D
TYW3	common	False	False	False	False	0	0	False	False	D
UBE2O	common	False	False	False	False	0	0	False	False	D
UPF2	common	False	False	False	False	0	0	False	False	D
UPF3B	common	False	False	True	False	0	1	False	True	B
USP39	common	True	True	False	False	2	0	True	False	C
USP7	common	False	False	False	False	0	0	False	False	D
USP9X	common	False	False	False	False	0	0	False	False	D
UTP14A	common	False	False	False	False	0	0	False	False	D
WDR20	common	False	False	False	False	0	0	False	False	D
WDR48	common	False	False	False	False	0	0	False	False	D
WDR6	common	False	False	False	False	0	0	False	False	D
ZC3H18	common	False	False	True	True	0	2	False	True	B
ZC3HAV1	common	False	False	False	False	0	0	False	False	D
ZFP64	common	False	False	False	False	0	0	False	False	D
ZNF629	common	False	False	False	False	0	0	False	False	D
ZNF787	common	False	False	False	False	0	0	False	False	D
ZNHIT6	common	False	False	False	False	0	0	False	False	D
